IPO Name,Listing Date,Sector,Retail Quota (%),Issue Price Upper,Listing Price (₹),Closing Price NSE,Listing Gain (%),Listing gains on closing Basis (%),Day Change After Listing (%),QIB Day3 Subscription,HNI/NII Day3 Subscription,Retail Day3 Subscription,Day1 Subscription,Day2 Subscription,Day3 Subscription,GMP percentage D1,GMP percentage D2,GMP percentage D3,GMP percentage D4,GMP percentage D5,Peer PE,Debt/Equity,IPO PE,Latest EBIDTA,PE vs Sector Ratio,"Nifty 3D
Return (%)","Nifty 1W
Return (%)","Nifty 1M
Return (%)","Nifty During
IPO Window (%)",Market Sentiment Score,Issue Size (₹ Cr),Fresh Issue,OFS,GMP Day-1,GMP Day-2,GMP Day-3,GMP Day-4,GMP Day-5,Sentiment Source Note
AGS Transact Technologies,31-Jan-22,FinTech/ATM,35,175,161.05,154,-7.971428571,-12,-4.028571429,242.4,501.63,101.52,17.71,54.55,227.51,11.42857143,11.42857143,17.14285714,11.42857143,11.42857143,42.11,0.85,66.15,16.66,1.56,-0.0035,0.0024,-0.026,0.0041,0.78,260.15,184.9,75.25,20,20,30,20,20,"Subscribe consensus: Assetkranti, StockSis, IPO Bazaar YT; strong farm-mech GMP; IIFL/Anand Rathi recommend"
Adani Wilmar,8-Feb-22,FMCG/Edible Oil,35,230,268.25,268.25,16.63043478,16.63043478,9.59233E-14,331.6,267.94,63.77,13.32,34.85,182.44,21.73913043,26.08695652,21.73913043,19.56521739,15.2173913,59.06,0.32,38.46,18.36,1.45,0.0152,0.008,-0.0185,-0.0124,0.72,410.05,210,200.05,50,60,50,45,35,IIFL/Motilal managed; pharma equip niche; YT Subscribe calls; Nuvama note positive
Vedant Fashions (Manyavar),16-Feb-22,Retail/Fashion,10,866,933.55,943.05,7.800230947,8.897228637,1.096997691,132.54,254.16,243.03,15.86,48.99,185.8,4.618937644,4.618937644,5.773672055,4.618937644,1.732101617,58.52,1.86,59.1,24.15,1.45,-0.0053,-0.0012,-0.0348,0.0031,0.92,290,290,0,40,40,50,40,15,"KAVACH rail theme; Pranjal Kamra, CA Rachana, Assetkranti: Strong Subscribe; massive retail buzz Twitter/X"
Uma Exports,7-Apr-22,Agri-Commodities,10,68,79.8,79.8,17.35294118,17.35294118,8.17124E-14,110.38,147.51,74.41,5.3,16.03,113.97,0,0,0,0,0,95,0.94,51.99,12.29,1.26,-0.0117,-0.0239,-0.0479,-0.0109,0.62,698.06,138,560.06,0,0,0,0,0,Nuvama/Motilal managed; niche dental play; YT Subscribe for LT; defensible business
Veranda Learning Solutions,11-Apr-22,EdTech,35,137,131.25,131.25,-4.197080292,-4.197080292,0,172.93,422.42,96.9,7.08,32.12,188.38,10.94890511,10.94890511,10.94890511,7.299270073,10.94890511,76.16,0.55,21.53,11.3,1.27,-0.0093,-0.0201,-0.0628,-0.0004,0.68,199.45,160.73,38.72,15,15,15,10,15,HFC/HFO specialty gas; HitBullsEye & IPO Bazaar positive; strong GMP pre-listing
HariOm Pipe Industries,13-Apr-22,Steel/Pipes,35,153,231,231,50.98039216,50.98039216,0,236.94,507.27,90.56,17.29,50.63,221.68,29.41176471,29.41176471,29.41176471,29.41176471,29.41176471,32.94,0.01,16.21,74.49,1.22,-0.0123,-0.0065,-0.0387,0.0078,0.48,220.5,220.5,0,45,45,45,45,45,Karnataka infra play; moderate YouTube buzz; regional concentration risk flagged
Campus Activewear,9-May-22,f,35,292,378.9,358,29.76027397,22.60273973,-7.157534247,4.64,0.39,0.41,0.07,0.42,1.55,23.28767123,23.28767123,23.28767123,23.28767123,23.28767123,87.67,0.61,222.1,29.54,1.35,-0.0107,-0.0029,-0.036,0.0127,0.08,3027.26,300,2727.26,68,68,68,68,68,High valuation vs global peers; Nirmal Bang/Kotak cautious; YouTube avoid calls; flat/negative listing
Rainbow Children's Medicare,10-May-22,Healthcare,35,542,450.19,515,-16.93911439,-4.981549815,11.95756458,317.63,263.11,55.84,3.82,9.09,174.71,7.380073801,9.225092251,9.225092251,8.302583026,9.225092251,129.33,0.32,51.6,37.93,1.31,-0.0035,0.0024,-0.026,0.0041,0.88,500,250,250,40,50,50,45,50,Defence precision eng; GMP 305; Pranjal Kamra/Rachana: Strong Subscribe; institutional anchor heavy
Life Insurance Corporation,17-May-22,Insurance/PSU,35,949,875.26,875.25,-7.77028451,-7.771338251,-0.001053741,14.41,6.46,1.9,0.28,0.49,6.43,7.376185458,7.376185458,8.429926238,6.322444679,1.05374078,51.73,0.01,35.78,15.82,1.23,-0.0076,0.0033,0.0014,-0.0207,0.12,1269.35,0,1269.35,70,70,80,60,10,Weak debut below GMP; expensive vs JCB/Caterpillar comps; Feb 2025 market weakness
Prudent Corporate Advisory,20-May-22,Financial Services,35,630,561.77,561.75,-10.83015873,-10.83333333,-0.003174603,9.09,0.2,0.11,0.03,0.15,2.66,4.761904762,4.761904762,4.761904762,3.174603175,3.174603175,61.5,0.07,37.76,15.3,1.2,-0.0225,-0.0281,-0.0006,-0.0018,0.28,8750,0,8750,30,30,30,20,20,Largest IT IPO; OFS-heavy; Carlyle exit; tepid retail; institutional anchor carried subscription
