IPO Name,Listing Date,Sector,Retail Quota (%),Issue Price Upper,Listing Price (₹),Closing Price NSE,Listing Gain (%),Listing gains on closing Basis (%),Day Change After Listing (%),QIB Day3 Subscription,HNI/NII Day3 Subscription,Retail Day3 Subscription,Day1 Subscription,Day2 Subscription,Day3 Subscription,GMP percentage D1,GMP percentage D2,GMP percentage D3,GMP percentage D4,GMP percentage D5,Peer PE,Debt/Equity,IPO PE,Latest EBIDTA,PE vs Sector Ratio,"Nifty 3D
Return (%)","Nifty 1W
Return (%)","Nifty 1M
Return (%)","Nifty During
IPO Window (%)",Market Sentiment Score,Issue Size (₹ Cr),Fresh Issue,OFS,GMP Day-1,GMP Day-2,GMP Day-3,GMP Day-4,GMP Day-5,Sentiment Source Note
Jyoti CNC Automation,16-Jan-24,CNC/Machine Tools,10,331,370.0,434.2,11.78247734138973,31.17824773413897,19.39577039274924,44.13,36.48,26.17,3.69,5.08,38.53,13.595166,15.70997,14.501511,15.10574,25.075529,45.88,10.17,324.51,10.48,7.073016564952049,-0.02,-1.05,2.75,0.49,0.78,1000.0,0.0,1000.0,67,77,93,83,50,"Subscribe consensus: Assetkranti, StockSis, IPO Bazaar YT; strong farm-mech GMP; IIFL/Anand Rathi recommend"
Medi Assist Healthcare,23-Jan-24,TPA/Health Insurance,10,418,460.0,464.1,10.04784688995215,11.0287081339713,0.9808612440191435,40.14,14.85,3.19,0.41,0.73,16.25,8.373206,7.655502,7.177033,7.177033,9.569378,38.5,0.07,47.2,25.7,1.225974025974026,2.21,2.72,5.6,-2.38,0.72,1171.58,0.0,1171.58,55,55,40,35,40,IIFL/Motilal managed; pharma equip niche; YT Subscribe calls; Nuvama note positive
EPACK Durable,30-Jan-24,Consumer Durables/RAC,35,230,221.0,207.6,-3.91304347826087,-9.739130434782611,-5.826086956521742,25.5,28.1,6.5,0.77,3.68,16.79,4.347826,8.695652,10.869565,11.73913,10.869565,53.59,1.58,49.57,6.66,0.9249860048516514,-1.86,-1.24,0.79,-1.77,0.92,640.05,240.05,400.0,10,10,27,30,25,"KAVACH rail theme; Pranjal Kamra, CA Rachana, Assetkranti: Strong Subscribe; massive retail buzz Twitter/X"
Nova AgriTech,31-Jan-24,Agrochemicals,35,41,55.0,57.75,34.146341,40.853659,5.0,79.31,224.08,77.12,8.5,30.0,109.37,51.282051,51.282051,56.410256,58.974359,35.897436,25.0,0.35,23.4,17.5,0.9359999999999999,3.42,1.11,2.37,-2.65,0.62,143.81,112.0,31.81,20,20,20,20,25,Nuvama/Motilal managed; niche dental play; YT Subscribe for LT; defensible business
BLS E-Services,06-Feb-24,IT/Government Services,35,135,305.0,366.0,125.9259259259259,171.1111111111111,45.18518518518519,123.3,300.05,236.62,15.67,42.78,162.4,129.62963,129.62963,125.925926,125.925926,114.814815,44.7,0.05,44.7,14.73,1.0,2.35,0.53,0.38,-0.05,0.68,310.9,310.9,0.0,120,140,150,155,170,HFC/HFO specialty gas; HitBullsEye & IPO Bazaar positive; strong GMP pre-listing
Apeejay Surrendra Park Hotels,12-Feb-24,Luxury Hospitality,10,148,190.19,203.55,28.506757,37.533784,9.027027,75.14,52.41,30.35,2.61,5.82,59.66,27.027027,27.027027,27.027027,23.648649,27.027027,54.06,0.99,56.36,33.77,1.0425453200147983,1.54,2.35,0.87,0.35,0.48,920.0,600.0,320.0,55,55,65,40,35,Karnataka infra play; moderate YouTube buzz; regional concentration risk flagged
Capital Small Finance Bank,14-Feb-24,Small Finance Bank,35,468,430.25,435.0,-8.066239316239317,-7.051282051282051,1.014957264957266,6.64,4.05,2.49,0.5,1.19,4.0,1.495726,2.136752,4.273504,7.478632,8.547009,26.17,0.57,17.2,19.96,0.6572411157814291,1.07,1.89,1.25,-0.96,0.08,523.07,450.0,73.07,50,50,45,40,35,High valuation vs global peers; Nirmal Bang/Kotak cautious; YouTube avoid calls; flat/negative listing
Jana Small Finance Bank,14-Feb-24,Small Finance Bank,35,414,396.0,368.15,-4.347826086956522,-11.07487922705315,-6.727053140096624,39.81,26.13,5.7,0.88,1.83,19.89,7.246377,8.454106,9.661836,14.492754,14.492754,18.35,0.28,9.71,8.77,0.5291553133514987,1.07,1.89,1.25,-0.96,0.88,570.0,462.0,108.0,110,95,75,60,60,Defence precision eng; GMP 305; Pranjal Kamra/Rachana: Strong Subscribe; institutional anchor heavy
Rashi Peripherals,14-Feb-24,IT Distribution,10,311,339.5,321.5,9.163987138263666,3.37620578778135,-5.787781350482316,143.66,62.75,10.44,1.09,3.19,59.71,19.292605,24.115756,25.723473,24.115756,26.366559,11.09,1.53,10.54,2.83,0.9504057709648331,1.07,1.89,1.25,-0.96,0.12,600.0,600.0,0.0,70,75,80,82,75,Weak debut below GMP; expensive vs JCB/Caterpillar comps; Feb 2025 market weakness
Vibhor Steel Tubes,20-Feb-24,Steel Tubes,35,151,425.0,446.0,181.4569536423841,195.364238410596,13.90728476821192,178.73,721.32,188.17,27.63,101.42,298.81,9.933775,16.556291,46.357616,72.847682,79.470199,22.0,0.88,28.0,1.94,1.2727272727272727,-0.25,0.09,0.95,-0.47,0.28,72.17,72.17,0.0,120,120,110,70,15,Largest IT IPO; OFS-heavy; Carlyle exit; tepid retail; institutional anchor carried subscription
